Model,task_key,cohort,n_train,n_valid,metric,valid_score,valid_prevalence,valid_pr_auc,valid_brier_score,valid_ece
M1a overall survival,M1a_overall_survival,1,1141,382,AUC-ROC,0.8043502447708055,0.5602094240837696,0.8082838190895121,0.17894752751622645,0.05582217239216838
M1a overall survival,M1a_overall_survival,2,1291,232,AUC-ROC,0.6316964285714286,0.4827586206896552,0.615474521158298,0.28127272071732634,0.21868865072904492
M1a overall survival,M1a_overall_survival,3,920,603,AUC-ROC,0.7354280510018214,0.3034825870646766,0.5690604536800916,0.19609732956439713,0.12403803771491749
M1a overall survival,M1a_overall_survival,4,1349,174,AUC-ROC,0.7572751322751323,0.4827586206896552,0.7598228459516254,0.19939381238232018,0.04616103253432485
M1a overall survival,M1a_overall_survival,5,1391,132,AUC-ROC,0.7254464285714286,0.36363636363636365,0.6249487507669311,0.201693973305993,0.11799988790867268
M1b cancer-specific survival,M1b_cancer_specific_survival,1,1141,382,AUC-ROC,0.7100567302733367,0.27486910994764396,0.4746263550837799,0.21053926696537617,0.16634218205762996
M1b cancer-specific survival,M1b_cancer_specific_survival,2,1291,232,AUC-ROC,0.7267732267732268,0.33620689655172414,0.5788018659522216,0.19149526587948942,0.06049394248946026
M1b cancer-specific survival,M1b_cancer_specific_survival,3,920,603,AUC-ROC,0.7005726689142382,0.3913764510779436,0.6003802747672602,0.21839972245972283,0.08288452217841497
M1b cancer-specific survival,M1b_cancer_specific_survival,4,1349,174,AUC-ROC,0.8142067347964482,0.27011494252873564,0.6457100693344442,0.19272713927011223,0.2170260998939037
M1b cancer-specific survival,M1b_cancer_specific_survival,5,1391,132,AUC-ROC,0.6854040242733951,0.23484848484848486,0.4508053791628426,0.23747721736781072,0.26496062645988333
M3 PAM50 subtype,M3_pam50_subtype,1,1137,382,Macro-F1,0.6814253115401206,,,,
M3 PAM50 subtype,M3_pam50_subtype,2,1288,231,Macro-F1,0.7055002665421161,,,,
M3 PAM50 subtype,M3_pam50_subtype,3,918,601,Macro-F1,0.685744639606323,,,,
M3 PAM50 subtype,M3_pam50_subtype,4,1345,174,Macro-F1,0.7245323245699268,,,,
M3 PAM50 subtype,M3_pam50_subtype,5,1388,131,Macro-F1,0.6510992328927112,,,,
M4 histologic grade,M4_histologic_grade,1,1141,382,QW-Kappa,0.4676525559891137,,,,
M4 histologic grade,M4_histologic_grade,2,1291,232,QW-Kappa,0.5215497265733617,,,,
M4 histologic grade,M4_histologic_grade,3,920,603,QW-Kappa,0.3541485867451748,,,,
M4 histologic grade,M4_histologic_grade,4,1349,174,QW-Kappa,0.5371528792750657,,,,
M4 histologic grade,M4_histologic_grade,5,1391,132,QW-Kappa,0.3924418604651163,,,,
