feature,importance_mean,importance_std
age_at_diagnosis_imputed,0.188173076923077,0.025118324870762754
cell_cycle_checkpoint_score,0.048274886877828126,0.010717952691126777
lymph_nodes_examined_positive_log,0.028614253393665245,0.00953735305922254
pathway_emt_stroma_score,0.020248868778280638,0.0066101496764684915
gene_programme_14,0.013577488687782913,0.0053473930258268985
ohe_cohort_3,0.013108031674208232,0.005005963670025668
pathway_proliferation_score,0.012468891402715,0.008573039852222445
type_of_breast_surgery_bin,0.011575226244344006,0.0035437235660672247
ohe_cohort_1,0.011479072398190137,0.0063432753582298535
stromal_matrix_score,0.00869061085972862,0.004993178744449049
gene_programme_05,0.005780542986425441,0.0028570683615287053
gene_programme_02,0.005353506787330408,0.0019998983442204334
tumor_size_log,0.004493778280543081,0.004120649800487798
gene_programme_08,0.003812217194570244,0.003082522104996846
pathway_dna_repair_score,0.003269230769230869,0.001291414823783407
ohe_oncotree_mdlc,0.002958144796380191,0.0037374040279262296
gene_programme_11,0.0024858597285069006,0.0021963788349437913
gene_programme_03,0.0013433257918553099,0.002197318114976792
gene_programme_09,0.0013037330316742924,0.002682076659723977
gene_programme_12,0.0007154977375566363,0.0021476479703454246
ohe_histology_tubular__cribriform,0.00044400452488695396,0.0005128144477171972
ohe_histology_mucinous,9.332579185524769e-05,0.0002369666506619404
her2_status_bin,-0.00028280542986413025,0.0006613052897314108
gene_programme_06,-0.00041855203619901583,0.0010059926193879756
ohe_histology_other,-0.0005571266968325105,0.001971746147305189
gene_programme_15,-0.0007494343891401578,0.0005980850108189016
pathway_luminal_score,-0.0018382352941175516,0.0031071038618601748
gene_programme_01,-0.002983597285067807,0.0027946056441788257
inferred_menopausal_state_bin,-0.0033569004524886094,0.00791669388751248
