feature,importance_mean,importance_std
gene_programme_07,0.1724045322922346,0.013016699512548033
gene_programme_06,0.14367575919214898,0.020184553060473984
gene_programme_01,0.12745825630102595,0.03000619599745289
pathway_proliferation_score,0.08049933900270789,0.013392632608346017
gene_programme_05,0.0638761681944341,0.009911056855677915
gene_programme_04,0.061594870429396355,0.008007943189356399
epithelial_differentiation_score,0.05310918824881811,0.009135446750867233
gene_programme_14,0.04843378064270219,0.01333676641988494
pathway_her2_score,0.04229403836679476,0.009037929630618285
pathway_emt_stroma_score,0.04103190614801104,0.006265620543168843
gene_programme_09,0.04026027355066479,0.011053354501117838
er_status_bin,0.026857697541529425,0.006994687230449763
stromal_matrix_score,0.022742395371656066,0.01013420422803633
immune_innate_score,0.022315027822431787,0.009647380545939666
cell_cycle_checkpoint_score,0.01992684331189898,0.016386660790931547
gene_programme_03,0.019210231866386797,0.012841123190525994
gene_programme_02,0.015597507993190485,0.009204342974339157
ohe_her2_snp6_neutral,0.014464442727496408,0.00556269968209434
gene_programme_10,0.01383354610964994,0.007320371411586854
gene_programme_15,0.013648609897226226,0.014116394752563235
age_at_diagnosis_imputed,0.013205457579383129,0.005565543784590342
pathway_luminal_score,0.012617129892730117,0.006757961954592229
ohe_3gene_erplus_her2neg_low_prolif,0.011215772418474523,0.007766246162425394
ohe_3gene_erplus_her2neg_high_prolif,0.008262859014863145,0.006293757950076942
pathway_dna_repair_score,0.004235202446675046,0.006883974991820352
gene_programme_12,0.0033284525096224705,0.006580096155013332
pathway_immune_ifn_score,0.002890262859227044,0.007438506078806012
ohe_3gene_her2plus,0.0026328065659872446,0.003637311154761604
ohe_her2_snp6_gain,0.0025608103248736967,0.004376066588213505
ohe_3gene_erneg_her2neg,-0.00013201922508160324,0.0015924384675688563
