feature,importance_mean,importance_std
gene_programme_01,0.15985179882442999,0.026691900153956977
gene_programme_04,0.035777090276589305,0.008487465435750926
ohe_pam50_basal,0.028623431632943362,0.011682963035830616
pathway_luminal_score,0.0271226710988804,0.021302636045255684
gene_programme_07,0.025601694076872274,0.01317583720339271
gene_programme_09,0.021424414611527266,0.009299790649360495
gene_programme_12,0.019188124872401312,0.004652392510149978
gene_programme_05,0.01596098162418531,0.021289327711620613
gene_programme_06,0.013282669854084394,0.007756957345886443
tumor_size_log,0.012430898654050237,0.007513654711201669
ohe_cohort_3,0.01217218219359797,0.025278185398698125
ohe_3gene_erplus_her2neg_low_prolif,0.007856510109107605,0.0087249960480252
gene_programme_08,0.007729123100127999,0.010584809007768507
pathway_immune_ifn_score,0.007320703903332481,0.004662603160251282
ohe_histology_ductal_nst,0.006816864860725347,0.009897777986763476
cellularity_was_missing,0.006695752431375057,0.004186924950040907
gene_programme_02,0.004758628142118537,0.006589821884946564
stromal_matrix_score,0.0019195090031089435,0.002762454882305286
pathway_her2_score,0.00056514758329681,0.005123645638892032
ohe_histology_tubular__cribriform,0.0004970056729225236,0.0027487827618457306
mutation_count_log,0.0004125659096911094,0.004427683427052684
gene_programme_13,-0.0011395206106987964,0.007131842722787566
gene_programme_10,-0.005852028604931536,0.016698756891120388
age_at_diagnosis_imputed,-0.006058468302500309,0.013978698926238533
cell_cycle_checkpoint_score,-0.006075793441770738,0.008911003607704804
gene_programme_11,-0.00813085104356539,0.005321985830180144
gene_programme_15,-0.009156281796424503,0.007684537078244261
er_status_bin,-0.010808918716112548,0.00819647923736869
pr_status_bin,-0.013615553354448051,0.00865562531070696
pathway_proliferation_score,-0.013937532640664463,0.017378676990565806
pathway_dna_repair_score,-0.0145493820688247,0.008949065999473135
gene_programme_14,-0.015369023102339997,0.011792790597254564
