,coef_abs
age_at_diagnosis_imputed,0.8280045320585154
lymph_nodes_examined_positive_log,0.3721695070073766
ohe_cohort_1,0.2823118554603063
inferred_menopausal_state_bin,0.26081786570951
tumor_size_log,0.206092704725243
gene_programme_03,0.18299340093825572
type_of_breast_surgery_bin,0.18246783136437172
pathway_proliferation_score,0.15017722438574738
ohe_cohort_3,0.14771269193415548
gene_programme_14,0.11271488686174189
ohe_pam50_luma,0.09602324751321173
ohe_integrative_cluster_5,0.08889761848129352
cell_cycle_checkpoint_score,0.08775459514443984
gene_programme_12,0.07193470621749373
cellularity_ord,0.06743484268584743
gene_programme_05,0.06402434794630715
pathway_emt_stroma_score,0.06299237481416795
gene_programme_01,0.06005806080228802
gene_programme_02,0.0598487254939977
ohe_cohort_4,0.0596617244951908
gene_programme_08,0.05280641004043054
ohe_ethnicity_european,0.05084939191094527
ohe_her2_snp6_neutral,0.04322680085035326
neoplasm_histologic_grade_was_missing,0.041913072992805805
ohe_oncotree_mdlc,0.039874488798024764
ohe_histology_mixed,0.039874488798024764
ohe_histology_other,0.03395325799929098
ohe_oncotree_other,0.03395325799929098
ohe_integrative_cluster_2,0.03262994365675446
ohe_ethnicity_north_america,0.029875385843024252
mutation_count_was_missing,0.026706144861161702
gene_programme_09,0.019032115939977966
ohe_integrative_cluster_4ERplus,0.0175071562551086
ohe_pam50_normal,0.01358044531811377
gene_programme_06,0.01323720382417018
ohe_histology_tubular__cribriform,0.012953789240701211
ohe_oncotree_immc,0.012286655937906161
ohe_histology_mucinous,0.012286655937906161
primary_tumor_laterality_bin,0.010833573544622334
pathway_luminal_score,0.010319805276260441
ohe_oncotree_ilc,0.008892896439763409
ohe_histology_lobular,0.008892896439763409
ohe_integrative_cluster_1,0.008446305069058253
ohe_integrative_cluster_6,0.00758635315461291
gene_programme_11,0.0035147691009696177
age_at_diagnosis_was_missing,0.0022156411064713586
her2_status_bin,0.002022626931351325
ohe_integrative_cluster_8,0.0009990047318956267
pr_status_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
er_status_bin_was_missing,0.0
er_status_bin,0.0
cellularity_was_missing,0.0
mutation_count_log,0.0
tumor_size_was_missing,0.0
tumor_stage_was_missing,0.0
pr_status_bin,0.0
inferred_menopausal_state_bin_was_missing,0.0
ohe_ethnicity_africa,0.0
ohe_ethnicity_asian,0.0
type_of_breast_surgery_bin_was_missing,0.0
ohe_cohort_5,0.0
ohe_cohort_2,0.0
ohe_integrative_cluster_9,0.0
ohe_integrative_cluster_4ER-,0.0
ohe_histology_ductal_nst,0.0
ohe_pam50_claudinneglow,0.0
ohe_pam50_nc,0.0
ohe_pam50_her2,0.0
ohe_pam50_lumb,0.0
ohe_integrative_cluster_3,0.0
ohe_integrative_cluster_10,0.0
ohe_integrative_cluster_7,0.0
ohe_pam50_basal,0.0
ohe_oncotree_idc,0.0
ohe_histology_medullary,0.0
epithelial_differentiation_score,0.0
pathway_dna_repair_score,0.0
pathway_immune_ifn_score,0.0
pathway_her2_score,0.0
ohe_her2_snp6_loss,0.0
ohe_her2_snp6_other,0.0
ohe_her2_snp6_gain,0.0
stromal_matrix_score,0.0
immune_innate_score,0.0
gene_programme_04,0.0
gene_programme_07,0.0
gene_programme_10,0.0
gene_programme_13,0.0
gene_programme_15,0.0
