,mi
age_at_diagnosis_imputed,0.062416265842001994
gene_programme_03,0.044329851593001734
tumor_size_log,0.03609090871778875
stromal_matrix_score,0.029068180054719672
ohe_cohort_3,0.021703918811371015
ohe_ethnicity_asian,0.020129063102391154
ohe_histology_other,0.019465474120953896
ohe_pam50_her2,0.019447712246575932
gene_programme_12,0.018252885401119023
ohe_histology_mucinous,0.01812160955607478
her2_status_bin,0.01804413010196626
gene_programme_14,0.01750936451150409
ohe_oncotree_mdlc,0.016771683712877294
gene_programme_05,0.01661133182297636
pathway_proliferation_score,0.015957408211303648
inferred_menopausal_state_bin,0.015627042134441105
ohe_ethnicity_africa,0.015292302634820398
ohe_cohort_1,0.01401492619880429
her2_status_bin_was_missing,0.012797261711206431
type_of_breast_surgery_bin,0.012396868862046606
cell_cycle_checkpoint_score,0.012393548510756247
ohe_histology_medullary,0.011923940051428605
ohe_histology_tubular__cribriform,0.011903333016887618
gene_programme_15,0.011193682546778216
ohe_pam50_nc,0.011184366014551639
ohe_integrative_cluster_4ER-,0.010436701858544506
ohe_cohort_2,0.010033212660503388
pathway_dna_repair_score,0.009783668287214553
gene_programme_06,0.008969505081201756
gene_programme_11,0.00867966876753945
ohe_integrative_cluster_7,0.007090653107548306
ohe_histology_ductal_nst,0.006320652238931412
gene_programme_09,0.005069469983886243
ohe_integrative_cluster_6,0.005026016193911076
pr_status_bin_was_missing,0.004810398649536474
gene_programme_10,0.004234554980030225
ohe_integrative_cluster_8,0.0038611207457890373
ohe_pam50_lumb,0.0036207106335335304
primary_tumor_laterality_bin,0.003440823929894421
pathway_immune_ifn_score,0.0034308272628034153
cellularity_was_missing,0.0031246168698850774
ohe_cohort_4,0.0028784954021841003
lymph_nodes_examined_positive_log,0.002774199775331443
ohe_cohort_5,0.0027496923633427706
type_of_breast_surgery_bin_was_missing,0.0022234879320763845
ohe_oncotree_immc,0.0021665617641688506
pathway_her2_score,0.0020095075912562876
ohe_ethnicity_european,0.001496168439493406
ohe_integrative_cluster_5,0.001469738679094501
ohe_pam50_basal,0.0013338889455472014
gene_programme_01,0.0008575671615473901
primary_tumor_laterality_bin_was_missing,2.0284170344719854e-05
tumor_size_was_missing,0.0
age_at_diagnosis_was_missing,0.0
mutation_count_was_missing,0.0
tumor_stage_was_missing,0.0
neoplasm_histologic_grade_was_missing,0.0
mutation_count_log,0.0
cellularity_ord,0.0
ohe_ethnicity_north_america,0.0
er_status_bin,0.0
pr_status_bin,0.0
inferred_menopausal_state_bin_was_missing,0.0
er_status_bin_was_missing,0.0
ohe_integrative_cluster_9,0.0
ohe_histology_lobular,0.0
ohe_histology_mixed,0.0
ohe_integrative_cluster_1,0.0
ohe_pam50_claudinneglow,0.0
ohe_pam50_normal,0.0
ohe_pam50_luma,0.0
ohe_integrative_cluster_4ERplus,0.0
ohe_integrative_cluster_3,0.0
ohe_integrative_cluster_2,0.0
ohe_integrative_cluster_10,0.0
ohe_oncotree_ilc,0.0
ohe_oncotree_idc,0.0
epithelial_differentiation_score,0.0
pathway_emt_stroma_score,0.0
ohe_her2_snp6_gain,0.0
ohe_her2_snp6_loss,0.0
ohe_her2_snp6_neutral,0.0
ohe_her2_snp6_other,0.0
ohe_oncotree_other,0.0
immune_innate_score,0.0
pathway_luminal_score,0.0
gene_programme_02,0.0
gene_programme_07,0.0
gene_programme_04,0.0
gene_programme_08,0.0
gene_programme_13,0.0
