,importance
age_at_diagnosis_imputed,0.08530334271966977
tumor_size_log,0.040186630702847434
gene_programme_03,0.03978604959935755
gene_programme_08,0.031220428781531757
pathway_proliferation_score,0.030494770719787793
gene_programme_01,0.028692685874007105
pathway_dna_repair_score,0.02815321286808991
gene_programme_06,0.02795474264338974
cell_cycle_checkpoint_score,0.027863344843975398
gene_programme_05,0.027620562577884488
pathway_her2_score,0.027378967861263342
gene_programme_15,0.02704448641386203
lymph_nodes_examined_positive_log,0.02687437549594303
pathway_luminal_score,0.026815653250976956
gene_programme_13,0.02671094493064052
gene_programme_12,0.026662815224083442
immune_innate_score,0.02576811790395909
gene_programme_10,0.025613361644734618
pathway_immune_ifn_score,0.02531287599188456
gene_programme_11,0.02527819128569506
pathway_emt_stroma_score,0.025174963111434415
stromal_matrix_score,0.025165540896691003
epithelial_differentiation_score,0.025040293197625643
gene_programme_14,0.02480978265371543
gene_programme_07,0.024062282723287406
gene_programme_02,0.02382489544821358
gene_programme_09,0.0234338083890468
gene_programme_04,0.022772027563129
mutation_count_log,0.01901004687604117
type_of_breast_surgery_bin,0.013913937589364926
ohe_cohort_3,0.011478141812596555
ohe_cohort_1,0.008593032188181492
cellularity_ord,0.006688794053383151
inferred_menopausal_state_bin,0.005988923497403951
ohe_pam50_luma,0.00443077675164738
ohe_ethnicity_european,0.004246651491094323
primary_tumor_laterality_bin,0.004178913297096947
ohe_ethnicity_north_america,0.003949478505668745
ohe_pam50_lumb,0.0039412530936758115
ohe_her2_snp6_gain,0.003672020622265944
pr_status_bin,0.0035023381238065013
ohe_cohort_2,0.003332708649602668
tumor_stage_was_missing,0.0032945517820048027
ohe_her2_snp6_neutral,0.003255922640376203
ohe_ethnicity_asian,0.0032461561662733758
ohe_cohort_4,0.002878132545771943
ohe_integrative_cluster_5,0.0028738084175700786
ohe_histology_ductal_nst,0.0027433333780132545
ohe_pam50_her2,0.0026812237916134752
ohe_integrative_cluster_3,0.0026444713156927994
ohe_integrative_cluster_4ERplus,0.0025173981038731606
ohe_oncotree_idc,0.00249340504333667
ohe_cohort_5,0.0024374290589091394
ohe_pam50_claudinneglow,0.0024284788340254966
ohe_integrative_cluster_8,0.002403118611585251
ohe_histology_mixed,0.0023369110092253086
ohe_integrative_cluster_7,0.002264641346978119
ohe_oncotree_mdlc,0.0021070605509722617
ohe_pam50_normal,0.0021030134396625697
her2_status_bin,0.0020623600334726748
er_status_bin,0.0020487876851187506
ohe_her2_snp6_loss,0.001992931858693249
ohe_ethnicity_africa,0.0019810837437790265
ohe_integrative_cluster_10,0.0019737638265851223
ohe_pam50_basal,0.0019468381574143903
ohe_integrative_cluster_9,0.0018882238476440709
ohe_integrative_cluster_1,0.0018484371151780354
ohe_integrative_cluster_2,0.0018083118941364322
ohe_oncotree_ilc,0.001737440677460581
ohe_integrative_cluster_6,0.0016765514145697764
ohe_integrative_cluster_4ER-,0.0015500697178779076
ohe_histology_lobular,0.001515123021820158
neoplasm_histologic_grade_was_missing,0.0012813970372855096
cellularity_was_missing,0.0012112252278270676
mutation_count_was_missing,0.0009503712593862626
age_at_diagnosis_was_missing,0.0008974332187060125
ohe_histology_medullary,0.0008668111126340889
ohe_oncotree_other,0.0006799282892296363
ohe_oncotree_immc,0.0006726620030841054
ohe_histology_other,0.0006569309560657098
ohe_histology_mucinous,0.0006342814482318742
ohe_histology_tubular__cribriform,0.0005446231566251024
tumor_size_was_missing,0.00047948495431539474
ohe_pam50_nc,0.00024606755489480533
ohe_her2_snp6_other,0.00019363288352391343
type_of_breast_surgery_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
er_status_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
inferred_menopausal_state_bin_was_missing,0.0
