,coef_abs
lymph_nodes_examined_positive_log,0.49551433340168455
pathway_proliferation_score,0.33883987805514154
ohe_cohort_3,0.23868651091761578
ohe_pam50_luma,0.2201469727777839
tumor_size_log,0.1716529151110677
cell_cycle_checkpoint_score,0.1344638811615032
ohe_integrative_cluster_3,0.1331923282203424
ohe_integrative_cluster_2,0.12571950494844858
type_of_breast_surgery_bin,0.12002651525916402
pathway_luminal_score,0.11763909237669246
ohe_cohort_2,0.11279470148631407
gene_programme_02,0.10862800114517973
inferred_menopausal_state_bin,0.09805949230009692
ohe_integrative_cluster_5,0.09612282003548317
ohe_cohort_5,0.09064399337633228
ohe_pam50_claudinneglow,0.07965166841051843
gene_programme_14,0.07762727432065095
ohe_integrative_cluster_10,0.07424189490439839
gene_programme_10,0.0644418515975104
ohe_cohort_4,0.0581453375411118
gene_programme_08,0.055095688489064064
tumor_size_was_missing,0.05407590142040469
gene_programme_13,0.05275622952341028
primary_tumor_laterality_bin,0.05098549479727336
ohe_histology_tubular__cribriform,0.0496278881762885
ohe_her2_snp6_gain,0.042573893979669444
gene_programme_04,0.0407901870849039
ohe_pam50_normal,0.03718761421441272
ohe_oncotree_idc,0.03607100590367261
ohe_pam50_lumb,0.03536987157043707
ohe_her2_snp6_neutral,0.030859994809669913
gene_programme_12,0.027625925266900827
ohe_integrative_cluster_6,0.026839167600373144
neoplasm_histologic_grade_was_missing,0.025496980594493086
ohe_oncotree_ilc,0.023865415135117377
ohe_histology_lobular,0.023865415135117377
gene_programme_15,0.022060975918241476
ohe_integrative_cluster_9,0.021607814304167847
ohe_histology_mixed,0.021568802283012004
ohe_oncotree_mdlc,0.021568802283012004
pathway_emt_stroma_score,0.020192476067620823
age_at_diagnosis_was_missing,0.017989915931708362
ohe_histology_other,0.006582396108703801
ohe_oncotree_other,0.006582396108703801
pr_status_bin,0.001992204923422515
gene_programme_11,0.0013514818542250883
mutation_count_was_missing,0.0
tumor_stage_was_missing,0.0
type_of_breast_surgery_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
inferred_menopausal_state_bin_was_missing,0.0
er_status_bin,0.0
er_status_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
her2_status_bin,0.0
age_at_diagnosis_imputed,0.0
cellularity_was_missing,0.0
mutation_count_log,0.0
cellularity_ord,0.0
ohe_ethnicity_north_america,0.0
ohe_ethnicity_european,0.0
ohe_ethnicity_asian,0.0
ohe_ethnicity_africa,0.0
primary_tumor_laterality_bin_was_missing,0.0
ohe_histology_mucinous,0.0
ohe_cohort_1,0.0
ohe_histology_ductal_nst,0.0
ohe_integrative_cluster_1,0.0
ohe_pam50_nc,0.0
ohe_pam50_her2,0.0
ohe_pam50_basal,0.0
ohe_integrative_cluster_8,0.0
ohe_integrative_cluster_4ERplus,0.0
ohe_integrative_cluster_4ER-,0.0
ohe_integrative_cluster_7,0.0
ohe_histology_medullary,0.0
epithelial_differentiation_score,0.0
immune_innate_score,0.0
pathway_dna_repair_score,0.0
pathway_immune_ifn_score,0.0
pathway_her2_score,0.0
ohe_her2_snp6_loss,0.0
ohe_her2_snp6_other,0.0
ohe_oncotree_immc,0.0
stromal_matrix_score,0.0
gene_programme_07,0.0
gene_programme_03,0.0
gene_programme_01,0.0
gene_programme_06,0.0
gene_programme_05,0.0
gene_programme_09,0.0
