,mi
lymph_nodes_examined_positive_log,0.0530810218577602
gene_programme_05,0.0324781872004416
pathway_proliferation_score,0.02719135761313174
type_of_breast_surgery_bin,0.025657241282349474
ohe_cohort_3,0.02556578135873533
ohe_pam50_luma,0.024766188644857134
pr_status_bin_was_missing,0.02395802995315144
gene_programme_03,0.02260946930433283
er_status_bin,0.017680864406691477
cellularity_was_missing,0.015860586331823967
gene_programme_12,0.015326093021589937
ohe_her2_snp6_gain,0.0145981722910693
tumor_size_log,0.014394194942850547
inferred_menopausal_state_bin_was_missing,0.01332760382408038
ohe_cohort_5,0.013183405250472457
ohe_integrative_cluster_5,0.012772585040585316
ohe_pam50_her2,0.011619945181227553
her2_status_bin_was_missing,0.0107994679051302
ohe_pam50_lumb,0.01021277602599957
mutation_count_log,0.008882024211369188
tumor_stage_was_missing,0.008786194719430096
inferred_menopausal_state_bin,0.008099019110693106
ohe_integrative_cluster_9,0.007464140472965841
ohe_integrative_cluster_1,0.007279616629899177
ohe_histology_other,0.007151742677450557
ohe_oncotree_idc,0.006668930359176262
ohe_histology_tubular__cribriform,0.006530876520563389
pathway_immune_ifn_score,0.006401693688747656
gene_programme_09,0.006145679991563124
ohe_integrative_cluster_8,0.005683881284901382
pathway_emt_stroma_score,0.005601919837819214
ohe_pam50_normal,0.0036129399365423254
gene_programme_07,0.003320194525395781
ohe_cohort_1,0.0033130506728795694
ohe_histology_ductal_nst,0.0027808891490095355
ohe_integrative_cluster_4ER-,0.002687873068522695
pathway_dna_repair_score,0.0026456758222348498
ohe_oncotree_other,0.002640362401538976
ohe_her2_snp6_loss,0.0022206951087877513
age_at_diagnosis_imputed,0.0018735385839319108
her2_status_bin,0.001793041102342574
ohe_pam50_basal,0.0017627373336273067
stromal_matrix_score,0.0017609636717397237
ohe_ethnicity_asian,0.0013317377456143475
ohe_histology_mucinous,0.001175723514905247
gene_programme_02,0.001115162234542666
ohe_her2_snp6_neutral,0.0007449481315378037
ohe_oncotree_mdlc,0.0006881485531646803
gene_programme_04,0.0006636672118567333
ohe_histology_medullary,0.0006505316695393226
ohe_ethnicity_european,0.00041146396009184016
primary_tumor_laterality_bin_was_missing,0.00024286098147507929
gene_programme_15,0.00021191236170681194
age_at_diagnosis_was_missing,0.0
mutation_count_was_missing,0.0
tumor_size_was_missing,0.0
pr_status_bin,0.0
neoplasm_histologic_grade_was_missing,0.0
cellularity_ord,0.0
ohe_ethnicity_north_america,0.0
ohe_ethnicity_africa,0.0
type_of_breast_surgery_bin_was_missing,0.0
primary_tumor_laterality_bin,0.0
er_status_bin_was_missing,0.0
ohe_cohort_2,0.0
ohe_histology_lobular,0.0
ohe_cohort_4,0.0
ohe_pam50_claudinneglow,0.0
ohe_pam50_nc,0.0
ohe_integrative_cluster_10,0.0
ohe_integrative_cluster_2,0.0
ohe_integrative_cluster_4ERplus,0.0
ohe_integrative_cluster_3,0.0
ohe_integrative_cluster_6,0.0
ohe_integrative_cluster_7,0.0
ohe_oncotree_ilc,0.0
ohe_histology_mixed,0.0
epithelial_differentiation_score,0.0
immune_innate_score,0.0
ohe_oncotree_immc,0.0
ohe_her2_snp6_other,0.0
pathway_luminal_score,0.0
pathway_her2_score,0.0
gene_programme_06,0.0
cell_cycle_checkpoint_score,0.0
gene_programme_01,0.0
gene_programme_08,0.0
gene_programme_11,0.0
gene_programme_10,0.0
gene_programme_13,0.0
gene_programme_14,0.0
