,importance
pathway_proliferation_score,0.045362215656146565
lymph_nodes_examined_positive_log,0.043580265703727264
tumor_size_log,0.04027569584851354
pathway_luminal_score,0.03231483889025968
gene_programme_01,0.03182151118994912
gene_programme_10,0.031314252464844046
gene_programme_05,0.030651724749381055
cell_cycle_checkpoint_score,0.03009261413891701
age_at_diagnosis_imputed,0.029784308780554596
pathway_emt_stroma_score,0.028726776154820808
gene_programme_08,0.028578738500093136
gene_programme_15,0.028482995671404453
immune_innate_score,0.028415474979254146
pathway_dna_repair_score,0.028323793191164147
pathway_her2_score,0.028231759935615174
pathway_immune_ifn_score,0.028117577870276994
gene_programme_13,0.02782724543973737
stromal_matrix_score,0.02748932370209382
gene_programme_11,0.027336681390557453
gene_programme_07,0.026862866324414016
gene_programme_14,0.02660866241868022
gene_programme_02,0.02633814727634404
epithelial_differentiation_score,0.026000819691749066
gene_programme_06,0.02587123087169417
gene_programme_09,0.025859111639243544
gene_programme_12,0.025701636547949932
gene_programme_03,0.025571494937767628
gene_programme_04,0.02555190049900061
mutation_count_log,0.018779719389524108
ohe_pam50_luma,0.010164414897237321
type_of_breast_surgery_bin,0.007264504491628785
cellularity_ord,0.006004680242025461
ohe_cohort_3,0.00598797968027687
ohe_integrative_cluster_3,0.00576297071991778
ohe_ethnicity_north_america,0.004513364703965412
pr_status_bin,0.004369342767217998
ohe_ethnicity_european,0.004368768913854471
ohe_integrative_cluster_5,0.004359356468004013
primary_tumor_laterality_bin,0.004236661967141753
ohe_cohort_1,0.003969178692096796
ohe_cohort_5,0.0038754865246547147
ohe_pam50_lumb,0.0037359573511625186
tumor_stage_was_missing,0.003580166879873516
inferred_menopausal_state_bin,0.0033414307942452796
ohe_her2_snp6_gain,0.0030676642701992054
ohe_her2_snp6_neutral,0.002939612010485782
ohe_integrative_cluster_7,0.0029344465086839295
ohe_cohort_4,0.002923903273921068
er_status_bin,0.002832866424834816
ohe_integrative_cluster_4ERplus,0.0027453776618194575
ohe_oncotree_idc,0.0027381856175942233
ohe_ethnicity_africa,0.0027065427733295685
ohe_pam50_her2,0.0026763223947896815
ohe_cohort_2,0.0026708676526891306
ohe_ethnicity_asian,0.002621533378450971
ohe_integrative_cluster_8,0.0026000844376844654
ohe_histology_ductal_nst,0.0025567012071666053
ohe_oncotree_mdlc,0.0025155007573853384
her2_status_bin,0.0024768005024540076
ohe_histology_mixed,0.002293590693638517
ohe_integrative_cluster_9,0.002249657854308442
ohe_integrative_cluster_6,0.0022141297305727585
ohe_integrative_cluster_2,0.002089382918449229
ohe_pam50_basal,0.0020354824700450627
ohe_integrative_cluster_1,0.001978104771061157
ohe_pam50_claudinneglow,0.0019528183570351172
ohe_oncotree_ilc,0.0018934004274839336
ohe_pam50_normal,0.0018274782765751888
ohe_integrative_cluster_10,0.0018000032041136749
ohe_histology_lobular,0.0017888782270099545
ohe_her2_snp6_loss,0.0014887329474108626
ohe_integrative_cluster_4ER-,0.0014826251184685908
neoplasm_histologic_grade_was_missing,0.0014203008896851318
mutation_count_was_missing,0.001237266104532404
age_at_diagnosis_was_missing,0.0011904736194428525
cellularity_was_missing,0.0011791304506868607
ohe_histology_medullary,0.0007795583052894061
ohe_histology_other,0.0005085220765900784
tumor_size_was_missing,0.000489400444095566
ohe_histology_mucinous,0.00039234549893151844
ohe_oncotree_other,0.00037855586241798965
ohe_oncotree_immc,0.00037751050019366015
ohe_histology_tubular__cribriform,0.00024602884356532883
ohe_pam50_nc,0.00018546528170785526
ohe_her2_snp6_other,0.00010709930822033951
type_of_breast_surgery_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
er_status_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
inferred_menopausal_state_bin_was_missing,0.0
