feature,delta_cindex
ohe_cohort_1,0.008119534793803562
ohe_cohort_2,0.003793599072053122
gene_programme_11,0.0034461793638296268
gene_programme_12,0.002457153904128928
ohe_cohort_5,0.002387109608116167
ohe_cohort_4,0.001781926890565555
gene_programme_08,0.001734296769276833
cellularity_ord,0.0016446400703804542
ohe_cohort_3,0.0016194241238158824
ohe_histology_medullary,0.0008265226929510261
her2_status_bin,0.0008153156055890065
gene_programme_14,0.0008097120619079412
cell_cycle_checkpoint_score,0.0008013067463863432
age_at_diagnosis_was_missing,0.0007985049745459216
gene_programme_02,0.000787297887183791
age_at_diagnosis_imputed,0.0007788925716623041
primary_tumor_laterality_bin,0.0006640199262013535
neoplasm_histologic_grade_was_missing,0.0006472092951582686
pathway_dna_repair_score,0.0006303986641151837
ohe_integrative_cluster_1,0.0006135880330720989
ohe_integrative_cluster_6,0.0006079844893910336
ohe_ethnicity_asian,0.0005855703146669944
inferred_menopausal_state_bin,0.0005771649991453964
er_status_bin,0.0005547508244213573
ohe_integrative_cluster_9,0.0004987153876111483
type_of_breast_surgery_bin,0.0004763012128869981
cellularity_was_missing,0.00041466223239572386
ohe_ethnicity_european,0.0003278073053398778
pathway_emt_stroma_score,0.0003166002179778582
tumor_size_log,0.0002997895869347733
gene_programme_03,0.0002997895869347733
ohe_integrative_cluster_8,0.0002689700966891362
tumor_size_was_missing,0.00016810631043073787
tumor_stage_was_missing,0.00016530453859020522
immune_innate_score,0.00016250276674967257
ohe_integrative_cluster_3,0.00011487264546095055
pathway_proliferation_score,0.00010646732993946362
ohe_integrative_cluster_7,8.685492705584608e-05
ohe_integrative_cluster_4ERplus,8.405315521531342e-05
ohe_her2_snp6_neutral,8.125138337478077e-05
ohe_her2_snp6_other,7.844961153435914e-05
pathway_luminal_score,7.844961153435914e-05
gene_programme_06,7.564783969382649e-05
ohe_her2_snp6_gain,7.004429601276119e-05
gene_programme_01,6.724252417222853e-05
ohe_histology_lobular,5.88372086507416e-05
ohe_oncotree_ilc,5.88372086507416e-05
ohe_her2_snp6_loss,5.32336649696763e-05
lymph_nodes_examined_positive_log,4.7630121288722016e-05
ohe_pam50_luma,3.642303392659141e-05
ohe_integrative_cluster_4ER-,3.081949024563713e-05
pathway_immune_ifn_score,3.081949024563713e-05
gene_programme_04,3.081949024563713e-05
ohe_pam50_nc,2.241417472403917e-05
gene_programme_09,2.241417472403917e-05
ohe_oncotree_idc,2.241417472403917e-05
ohe_histology_mucinous,1.681063104308489e-05
ohe_oncotree_immc,1.681063104308489e-05
ohe_ethnicity_africa,1.4008859202552237e-05
ohe_integrative_cluster_2,1.1207087362019585e-05
ohe_histology_tubular__cribriform,8.405315521486934e-06
pathway_her2_score,8.405315521486934e-06
gene_programme_13,2.801771840532652e-06
ohe_histology_ductal_nst,0.0
mutation_count_was_missing,0.0
ohe_integrative_cluster_5,-1.4008859202552237e-05
ohe_oncotree_mdlc,-1.681063104308489e-05
ohe_histology_mixed,-1.681063104308489e-05
ohe_pam50_her2,-1.961240288361754e-05
ohe_histology_other,-1.961240288361754e-05
ohe_oncotree_other,-1.961240288361754e-05
stromal_matrix_score,-2.8017718405104475e-05
gene_programme_07,-3.081949024563713e-05
gene_programme_10,-3.081949024563713e-05
gene_programme_05,-3.922480576723508e-05
epithelial_differentiation_score,-8.405315521542445e-05
ohe_pam50_normal,-9.806201441797668e-05
ohe_pam50_claudinneglow,-0.00015689922306871829
ohe_pam50_basal,-0.00016810631043073787
ohe_integrative_cluster_10,-0.00017090808227127052
pr_status_bin,-0.00023254706276254478
ohe_pam50_lumb,-0.0002745736403702015
gene_programme_15,-0.0003278073053398778
ohe_ethnicity_north_america,-0.00041186046055530223
mutation_count_log,-0.0007200553630115625
