covariate,coef_abs
lymph_nodes_examined_positive_log,0.3508763663990389
tumor_size_log,0.14484146413490934
pathway_proliferation_score,0.13174676746370126
ohe_cohort_5,0.1111151206189628
type_of_breast_surgery_bin,0.10685386448238354
ohe_pam50_lumb,0.09631885868177359
ohe_pam50_luma,0.0950564193322854
ohe_integrative_cluster_5,0.08981475793865105
ohe_integrative_cluster_3,0.08894280081367038
pathway_luminal_score,0.08225617319206693
ohe_integrative_cluster_10,0.08140180526367105
inferred_menopausal_state_bin,0.0805722098168653
ohe_integrative_cluster_2,0.07670882427866395
gene_programme_14,0.07223671305212367
gene_programme_07,0.06886285689977063
gene_programme_10,0.06881972939807336
gene_programme_12,0.06402511909338797
age_at_diagnosis_imputed,0.06392572004444849
er_status_bin,0.06312474333661007
ohe_histology_tubular__cribriform,0.0578207476214674
pathway_emt_stroma_score,0.055448187516266255
pr_status_bin,0.05512088045073818
gene_programme_11,0.055102843670414625
gene_programme_05,0.05101485700766544
primary_tumor_laterality_bin,0.050470144801285345
ohe_pam50_normal,0.04985239453638896
ohe_pam50_claudinneglow,0.04839443586388593
gene_programme_04,0.04815150747255103
gene_programme_13,0.046547735351643624
ohe_cohort_1,0.046464363306619794
ohe_cohort_4,0.044570799363071324
ohe_cohort_3,0.04319568958703227
pathway_immune_ifn_score,0.04195638246235854
tumor_size_was_missing,0.0409946942638707
ohe_integrative_cluster_9,0.03976280050182972
gene_programme_01,0.032229357014714695
gene_programme_15,0.03201646132007086
ohe_her2_snp6_gain,0.031709436764232685
ohe_oncotree_ilc,0.031469782879989895
ohe_histology_lobular,0.031469782879989895
ohe_integrative_cluster_4ER-,0.031088104876467036
ohe_pam50_her2,0.029839612777549013
ohe_integrative_cluster_6,0.029123281686315176
tumor_stage_was_missing,0.028480588769315883
ohe_ethnicity_asian,0.028396231581269787
mutation_count_was_missing,0.028066498045034544
neoplasm_histologic_grade_was_missing,0.02689317753401087
pathway_her2_score,0.02670944342170044
ohe_oncotree_idc,0.02473694360093016
gene_programme_02,0.02402927819952617
gene_programme_06,0.02159506471818035
ohe_her2_snp6_neutral,0.0215787298556258
epithelial_differentiation_score,0.01897462229181248
ohe_histology_medullary,0.018568250957013907
cellularity_was_missing,0.01818965689505702
ohe_integrative_cluster_7,0.017452881032006824
ohe_ethnicity_european,0.017242552579091294
gene_programme_08,0.01696351972681307
cell_cycle_checkpoint_score,0.016449864497701746
ohe_oncotree_other,0.015791049402458963
ohe_histology_other,0.015791049402458963
ohe_integrative_cluster_8,0.014853915020859138
ohe_integrative_cluster_1,0.01473273013828009
ohe_oncotree_mdlc,0.013925904859749124
ohe_histology_mixed,0.013925904859749122
ohe_her2_snp6_loss,0.013277691112991506
cellularity_ord,0.013142908850295478
stromal_matrix_score,0.012402715651205792
her2_status_bin,0.011831336713620548
ohe_cohort_2,0.011617313680417157
gene_programme_03,0.010767255963459916
immune_innate_score,0.010610030763393346
ohe_pam50_basal,0.009877551272009535
ohe_her2_snp6_other,0.008829932913169476
ohe_oncotree_immc,0.007291036781317565
ohe_histology_mucinous,0.007291036781317565
ohe_integrative_cluster_4ERplus,0.006770209434733709
gene_programme_09,0.0061451198838196296
ohe_pam50_nc,0.006133611532755165
age_at_diagnosis_was_missing,0.0048804875879664734
ohe_ethnicity_north_america,0.004821816039426457
mutation_count_log,0.0047099945961974485
pathway_dna_repair_score,0.0043283284342869955
ohe_histology_ductal_nst,0.003604799698890956
ohe_ethnicity_africa,0.003081161919333721
