feature,score
lymph_nodes_examined_positive_log,0.4244525917545985
tumor_size_log,0.30987193120843287
pathway_proliferation_score,0.2683838673915354
ohe_pam50_luma,0.2750979015082603
gene_programme_10,0.23835228781049905
ohe_integrative_cluster_5,0.20589894256959515
gene_programme_01,0.23155970764365832
er_status_bin,0.20273877641299798
pr_status_bin,0.20392424866565806
her2_status_bin,0.16733846218954956
ohe_integrative_cluster_3,0.19546352571146208
gene_programme_07,0.1581860708992641
type_of_breast_surgery_bin,0.1731537355323432
ohe_pam50_her2,0.1519723641789575
cell_cycle_checkpoint_score,0.1474253001089272
gene_programme_04,0.1563110129065077
gene_programme_05,0.1347783136803488
pathway_luminal_score,0.13438082696757003
ohe_her2_snp6_gain,0.128271721205853
pathway_dna_repair_score,0.1193312965888892
ohe_pam50_basal,0.11311612080483044
ohe_her2_snp6_neutral,0.11456251969702828
ohe_pam50_lumb,0.11182367741366345
gene_programme_06,0.11783096566985567
pathway_emt_stroma_score,0.10168897623581521
pathway_her2_score,0.09903133787371576
ohe_histology_tubular__cribriform,0.11258486417139978
ohe_cohort_3,0.08434640823820874
ohe_integrative_cluster_8,0.08523560478908068
ohe_integrative_cluster_2,0.0716636513290557
ohe_integrative_cluster_7,0.08283862648070141
ohe_integrative_cluster_9,0.069105144730816
ohe_cohort_5,0.07809915704899294
ohe_cohort_2,0.06549622877841135
gene_programme_09,0.06618770416339659
stromal_matrix_score,0.06424285258949369
gene_programme_15,0.06370475804672339
ohe_integrative_cluster_4ERplus,0.06204387150375972
gene_programme_13,0.05688949741940828
ohe_integrative_cluster_6,0.05169855836166524
inferred_menopausal_state_bin,0.051117113163447914
ohe_integrative_cluster_1,0.05073363715290694
ohe_ethnicity_africa,0.04740368708588034
ohe_histology_ductal_nst,0.04818111296248231
ohe_integrative_cluster_10,0.04492610151625392
gene_programme_11,0.04523974716982013
gene_programme_03,0.04031812466536392
cellularity_was_missing,0.046906682534526456
ohe_histology_lobular,0.0380767524074473
ohe_oncotree_ilc,0.0380767524074473
tumor_size_was_missing,0.04037989371933156
neoplasm_histologic_grade_was_missing,0.03673203754905291
gene_programme_02,0.03497521724129997
ohe_histology_mucinous,0.0389080467666873
ohe_oncotree_immc,0.0389080467666873
ohe_histology_other,0.03783448773169213
ohe_oncotree_other,0.03783448773169213
ohe_pam50_claudinneglow,0.034475351023765255
mutation_count_was_missing,0.03531736814236013
ohe_ethnicity_european,0.030976682091174323
primary_tumor_laterality_bin,0.029786733874799298
ohe_histology_mixed,0.026760149454081138
ohe_oncotree_mdlc,0.026760149454081138
ohe_histology_medullary,0.025881368050973148
ohe_cohort_1,0.024543364995463522
ohe_integrative_cluster_4ER-,0.021869882823181634
age_at_diagnosis_was_missing,0.019893057955464057
ohe_her2_snp6_other,0.017179771710736376
ohe_pam50_nc,0.019724828358820053
ohe_pam50_normal,0.017640588000023365
ohe_cohort_4,0.018865340085031032
gene_programme_14,0.017399401340736493
pathway_immune_ifn_score,0.016096552820198527
ohe_oncotree_idc,0.015348797405373076
tumor_stage_was_missing,0.015149652472044053
mutation_count_log,0.014983716245763055
ohe_her2_snp6_loss,0.013999236351210042
epithelial_differentiation_score,0.012994918671640383
gene_programme_08,0.011969964435748518
cellularity_ord,0.010114265228312538
ohe_ethnicity_asian,0.009757898958693027
gene_programme_12,0.008868493411074556
ohe_ethnicity_north_america,0.005113399556253771
age_at_diagnosis_imputed,0.005284805048524474
immune_innate_score,0.0027985870738499764
