,coef_abs
gene_programme_06,1.4472325548241987
gene_programme_01,0.9908817769265893
pathway_proliferation_score,0.9689342887376883
gene_programme_07,0.9574930440073685
gene_programme_14,0.8695257677359578
cellularity_was_missing,0.8344386543179986
er_status_bin,0.8026923452942443
gene_programme_04,0.7193581543712734
ohe_cohort_5,0.6348891819420506
gene_programme_05,0.6328878369484514
ohe_cohort_2,0.6276434114657262
pathway_her2_score,0.620002051051789
epithelial_differentiation_score,0.6141560993042879
gene_programme_09,0.5795368399188631
ohe_her2_snp6_gain,0.5694869667167807
ohe_her2_snp6_loss,0.5106751138434441
ohe_3gene_erplus_her2neg_high_prolif,0.47001280989259736
ohe_cohort_3,0.4622285488086453
ohe_cohort_4,0.45632271909662725
ohe_her2_snp6_neutral,0.44455231143125
ohe_3gene_erplus_her2neg_low_prolif,0.4338945719450158
pathway_emt_stroma_score,0.41804225240885157
gene_programme_02,0.4085774840014711
age_at_diagnosis_was_missing,0.4070790483578737
stromal_matrix_score,0.38794764218991223
ohe_3gene_her2plus,0.3826050026677043
ohe_ethnicity_asian,0.38004235222988564
neoplasm_histologic_grade_was_missing,0.36873791155957836
ohe_histology_ductal_nst,0.3667629497330134
gene_programme_15,0.3581903066750787
ohe_ethnicity_africa,0.3488987494584608
mutation_count_was_missing,0.3465382950480084
pr_status_bin,0.34460829630525397
cellularity_ord,0.3436827128665887
type_of_breast_surgery_bin,0.3168457272110618
gene_programme_08,0.31663317807215413
tumor_stage_was_missing,0.3104772453254356
immune_innate_score,0.30636255122266776
ohe_oncotree_ilc,0.29550097828988225
ohe_histology_lobular,0.29550097828988225
ohe_oncotree_immc,0.2904738928733297
ohe_histology_mucinous,0.2904738928733297
ohe_her2_snp6_other,0.2790147443011219
pathway_luminal_score,0.2740640068795168
cell_cycle_checkpoint_score,0.2619666273388231
gene_programme_11,0.2605730940661816
ohe_oncotree_idc,0.2588905662188329
ohe_3gene_erneg_her2neg,0.24468918292648312
gene_programme_13,0.24316966486730615
inferred_menopausal_state_bin,0.2361394635267957
age_at_diagnosis_imputed,0.23547352884752268
her2_status_bin,0.23188608469056285
mutation_count_log,0.23059057403357272
ohe_histology_tubular__cribriform,0.22678576177701362
ohe_ethnicity_european,0.22452799310058255
ohe_histology_medullary,0.22112960745672838
gene_programme_10,0.21021224742793135
lymph_nodes_examined_positive_log,0.19736270693081517
pathway_dna_repair_score,0.1971409972820918
ohe_histology_mixed,0.19628642283746248
ohe_oncotree_mdlc,0.19628642283746248
gene_programme_03,0.19362782707468132
ohe_cohort_1,0.1790104578964106
ohe_oncotree_other,0.17229735934858345
ohe_histology_other,0.17229735934858345
tumor_size_was_missing,0.15905433491965787
ohe_ethnicity_north_america,0.1455318934408255
gene_programme_12,0.12941408047016126
primary_tumor_laterality_bin,0.12855439334040705
pathway_immune_ifn_score,0.12523394581430025
tumor_size_log,0.11559854893918269
er_status_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
ohe_pam50_nc,0.0
type_of_breast_surgery_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
inferred_menopausal_state_bin_was_missing,0.0
