,mi
gene_programme_07,0.3382871270154957
er_status_bin,0.31694246287298444
pathway_proliferation_score,0.3078891150853922
pathway_luminal_score,0.2767095261996948
gene_programme_01,0.2683437050109294
gene_programme_06,0.22392975927892955
ohe_3gene_erneg_her2neg,0.2192143378541047
cell_cycle_checkpoint_score,0.21305193263315036
gene_programme_05,0.2001891531252209
gene_programme_04,0.16474841225733172
epithelial_differentiation_score,0.1632619398180628
pathway_her2_score,0.16170228145827092
pr_status_bin,0.15998816451674625
pathway_immune_ifn_score,0.1539171572441962
ohe_3gene_erplus_her2neg_high_prolif,0.14802130387515167
gene_programme_14,0.14168316298430428
gene_programme_10,0.13814626881407355
immune_innate_score,0.1272343239868956
ohe_3gene_erplus_her2neg_low_prolif,0.11915106836530587
pathway_dna_repair_score,0.11854503911421199
gene_programme_09,0.07121852867168244
her2_status_bin,0.06393636659052548
ohe_her2_snp6_gain,0.06336661302182023
ohe_3gene_her2plus,0.0608209766516854
ohe_her2_snp6_neutral,0.04749908832582106
age_at_diagnosis_imputed,0.04539610026232621
gene_programme_03,0.036435739360968444
gene_programme_12,0.03059829753290222
lymph_nodes_examined_positive_log,0.02800138681642217
cellularity_ord,0.02569182822044125
ohe_histology_mucinous,0.025170202041001843
ohe_oncotree_other,0.02373272169848173
gene_programme_02,0.022683625700815835
mutation_count_was_missing,0.021519632774718467
pathway_emt_stroma_score,0.020945508901340837
stromal_matrix_score,0.020689756782708013
ohe_cohort_1,0.020449846076623146
neoplasm_histologic_grade_was_missing,0.019637025901117156
ohe_oncotree_immc,0.01940187872946053
primary_tumor_laterality_bin_was_missing,0.017804411175260437
ohe_histology_mixed,0.017237248838863906
gene_programme_11,0.016130188805374868
ohe_cohort_3,0.015691549714921038
inferred_menopausal_state_bin_was_missing,0.01490463836042144
ohe_oncotree_ilc,0.014092124142329965
tumor_size_log,0.014038248177028478
primary_tumor_laterality_bin,0.013945782963284081
ohe_oncotree_mdlc,0.013583756380177281
gene_programme_13,0.011411601361600798
inferred_menopausal_state_bin,0.010781286467502316
ohe_histology_ductal_nst,0.00979696216424708
gene_programme_08,0.008904924351444077
tumor_size_was_missing,0.008880731884581383
ohe_oncotree_idc,0.008734084438922096
ohe_ethnicity_africa,0.008064067187998791
type_of_breast_surgery_bin_was_missing,0.005019539821132568
gene_programme_15,0.0048556066725224944
ohe_her2_snp6_loss,0.004426782121146999
mutation_count_log,0.0016357220195613031
ohe_cohort_4,0.0014153170217570121
er_status_bin_was_missing,0.0012024937637691302
ohe_histology_tubular__cribriform,0.0010719118506621328
ohe_histology_other,0.0008308069525386763
age_at_diagnosis_was_missing,0.0
tumor_stage_was_missing,0.0
cellularity_was_missing,0.0
her2_status_bin_was_missing,0.0
ohe_histology_lobular,0.0
ohe_histology_medullary,0.0
ohe_ethnicity_north_america,0.0
type_of_breast_surgery_bin,0.0
pr_status_bin_was_missing,0.0
ohe_cohort_2,0.0
ohe_cohort_5,0.0
ohe_ethnicity_european,0.0
ohe_ethnicity_asian,0.0
ohe_pam50_nc,0.0
ohe_her2_snp6_other,0.0
