,importance
gene_programme_07,0.06348672765845828
gene_programme_06,0.06333144925529535
pathway_proliferation_score,0.05192474931823508
pathway_luminal_score,0.043661884041912256
gene_programme_01,0.04298484842866495
gene_programme_10,0.041462007348595176
epithelial_differentiation_score,0.0397254295370195
gene_programme_05,0.03654171430428589
pathway_her2_score,0.0334034841617469
gene_programme_14,0.03304933663219204
cell_cycle_checkpoint_score,0.0325934690667201
gene_programme_04,0.03251937558162472
er_status_bin,0.030428961273827246
immune_innate_score,0.03010456003923411
pathway_immune_ifn_score,0.02789869164567155
pathway_dna_repair_score,0.02639626687103594
gene_programme_09,0.021694031136676173
gene_programme_02,0.01970242628116662
ohe_3gene_erneg_her2neg,0.0189970145673373
gene_programme_03,0.01858259138674564
gene_programme_12,0.01811446220593033
gene_programme_08,0.01772647300064035
age_at_diagnosis_imputed,0.017541749297381115
gene_programme_15,0.01711871997835038
gene_programme_13,0.01600712364598153
gene_programme_11,0.015975173426456532
stromal_matrix_score,0.015961003344122787
tumor_size_log,0.015831762568507345
pathway_emt_stroma_score,0.01559614616879402
ohe_3gene_erplus_her2neg_high_prolif,0.014932018097073152
mutation_count_log,0.013822432207824666
ohe_3gene_erplus_her2neg_low_prolif,0.010717290476241804
her2_status_bin,0.009492936876400708
pr_status_bin,0.00818115559829774
cellularity_ord,0.008104363324722528
lymph_nodes_examined_positive_log,0.0075523803076985785
ohe_her2_snp6_gain,0.007024158008520675
ohe_3gene_her2plus,0.005909213084959672
ohe_her2_snp6_neutral,0.004763356022448446
ohe_cohort_3,0.0033966370177634397
type_of_breast_surgery_bin,0.0032381120158711807
ohe_cohort_1,0.003062028166139035
tumor_stage_was_missing,0.0029012381406368715
ohe_ethnicity_european,0.0028668114751175407
primary_tumor_laterality_bin,0.0028415592564201898
ohe_ethnicity_north_america,0.002685299312203171
ohe_cohort_5,0.0023670191119852615
inferred_menopausal_state_bin,0.002241891388857365
ohe_cohort_4,0.0021412093040103237
ohe_histology_ductal_nst,0.0020854460522783365
ohe_oncotree_idc,0.0020800787907420807
cellularity_was_missing,0.001964952796262464
ohe_oncotree_mdlc,0.0018172428981609173
ohe_histology_mixed,0.0017530581506581167
ohe_cohort_2,0.0017437255351349314
ohe_ethnicity_asian,0.0017434277863053863
mutation_count_was_missing,0.001543558783316622
ohe_histology_lobular,0.001368078120002262
ohe_oncotree_ilc,0.0011319972832221333
ohe_ethnicity_africa,0.0010501702302861604
neoplasm_histologic_grade_was_missing,0.0010283800017963384
ohe_her2_snp6_loss,0.0009756186718644217
ohe_histology_medullary,0.0007529538753812257
tumor_size_was_missing,0.0005771591112764308
ohe_histology_other,0.000366955041678206
ohe_oncotree_other,0.0002983480566123966
ohe_histology_mucinous,0.0002978609179629337
ohe_oncotree_immc,0.00027854706058988963
age_at_diagnosis_was_missing,0.00021576994757537663
ohe_histology_tubular__cribriform,0.00017553632390836967
ohe_her2_snp6_other,0.00014839319918354073
er_status_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
ohe_pam50_nc,0.0
type_of_breast_surgery_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
inferred_menopausal_state_bin_was_missing,0.0
