feature,rf,lr_multi,mi,votes
er_status_bin,1,1,1,3
ohe_3gene_erplus_her2neg_high_prolif,1,1,1,3
pathway_proliferation_score,1,1,1,3
pathway_her2_score,1,1,1,3
epithelial_differentiation_score,1,1,1,3
gene_programme_01,1,1,1,3
gene_programme_04,1,1,1,3
gene_programme_05,1,1,1,3
gene_programme_06,1,1,1,3
gene_programme_07,1,1,1,3
gene_programme_09,1,1,1,3
gene_programme_14,1,1,1,3
pathway_emt_stroma_score,1,1,0,2
stromal_matrix_score,1,1,0,2
gene_programme_02,1,1,0,2
gene_programme_15,1,1,0,2
age_at_diagnosis_imputed,1,0,1,2
ohe_3gene_erneg_her2neg,1,0,1,2
pathway_luminal_score,1,0,1,2
pathway_immune_ifn_score,1,0,1,2
pathway_dna_repair_score,1,0,1,2
immune_innate_score,1,0,1,2
cell_cycle_checkpoint_score,1,0,1,2
gene_programme_03,1,0,1,2
gene_programme_10,1,0,1,2
gene_programme_12,1,0,1,2
ohe_3gene_erplus_her2neg_low_prolif,0,1,1,2
ohe_3gene_her2plus,0,1,1,2
ohe_her2_snp6_gain,0,1,1,2
ohe_her2_snp6_neutral,0,1,1,2
tumor_size_log,1,0,0,1
gene_programme_08,1,0,0,1
gene_programme_11,1,0,0,1
gene_programme_13,1,0,0,1
age_at_diagnosis_was_missing,0,1,0,1
neoplasm_histologic_grade_was_missing,0,1,0,1
cellularity_was_missing,0,1,0,1
ohe_ethnicity_asian,0,1,0,1
ohe_cohort_2,0,1,0,1
ohe_cohort_3,0,1,0,1
ohe_cohort_4,0,1,0,1
ohe_cohort_5,0,1,0,1
ohe_histology_ductal_nst,0,1,0,1
ohe_her2_snp6_loss,0,1,0,1
lymph_nodes_examined_positive_log,0,0,1,1
cellularity_ord,0,0,1,1
her2_status_bin,0,0,1,1
pr_status_bin,0,0,1,1
mutation_count_was_missing,0,0,0,0
tumor_size_was_missing,0,0,0,0
tumor_stage_was_missing,0,0,0,0
mutation_count_log,0,0,0,0
er_status_bin_was_missing,0,0,0,0
her2_status_bin_was_missing,0,0,0,0
pr_status_bin_was_missing,0,0,0,0
inferred_menopausal_state_bin_was_missing,0,0,0,0
inferred_menopausal_state_bin,0,0,0,0
type_of_breast_surgery_bin_was_missing,0,0,0,0
type_of_breast_surgery_bin,0,0,0,0
primary_tumor_laterality_bin_was_missing,0,0,0,0
primary_tumor_laterality_bin,0,0,0,0
ohe_ethnicity_africa,0,0,0,0
ohe_ethnicity_european,0,0,0,0
ohe_ethnicity_north_america,0,0,0,0
ohe_pam50_nc,0,0,0,0
ohe_cohort_1,0,0,0,0
ohe_histology_lobular,0,0,0,0
ohe_histology_medullary,0,0,0,0
ohe_histology_mixed,0,0,0,0
ohe_histology_mucinous,0,0,0,0
ohe_histology_other,0,0,0,0
ohe_histology_tubular__cribriform,0,0,0,0
ohe_oncotree_idc,0,0,0,0
ohe_oncotree_ilc,0,0,0,0
ohe_oncotree_immc,0,0,0,0
ohe_oncotree_mdlc,0,0,0,0
ohe_oncotree_other,0,0,0,0
ohe_her2_snp6_other,0,0,0,0
