,mi
pathway_proliferation_score,0.16100272107694824
gene_programme_01,0.09403323100806071
er_status_bin,0.09392322726912461
gene_programme_07,0.09144755181664621
ohe_3gene_erplus_her2neg_low_prolif,0.08107680787153093
ohe_pam50_luma,0.07147358439411855
cell_cycle_checkpoint_score,0.0713989180647836
ohe_integrative_cluster_10,0.05097546214864801
pr_status_bin,0.04871541412178315
gene_programme_10,0.04762629497321935
ohe_3gene_erneg_her2neg,0.04565241785126961
pathway_luminal_score,0.04438817351841218
gene_programme_04,0.04148409441698542
ohe_pam50_basal,0.03776625337452799
her2_status_bin,0.03222933971035191
ohe_her2_snp6_neutral,0.03126362440401298
ohe_3gene_her2plus,0.030176301059944954
ohe_integrative_cluster_5,0.0270611734904338
ohe_histology_tubular__cribriform,0.026987339824088075
age_at_diagnosis_imputed,0.026420517358480833
cellularity_was_missing,0.025626086894062095
ohe_cohort_3,0.025342030663189075
pathway_her2_score,0.025182308896886774
tumor_size_log,0.023466905057073717
ohe_histology_ductal_nst,0.022971242674566295
mutation_count_was_missing,0.022801324601386508
pathway_dna_repair_score,0.02238661998027469
ohe_pam50_her2,0.020559314818009877
gene_programme_06,0.01873247559084268
ohe_oncotree_idc,0.018377834208222144
ohe_integrative_cluster_8,0.017983941595002495
gene_programme_02,0.017218615804312165
gene_programme_05,0.016921690660417266
mutation_count_log,0.01606404177621723
type_of_breast_surgery_bin,0.014935482502154152
ohe_integrative_cluster_7,0.014806749067283409
ohe_cohort_1,0.014314995964145538
ohe_oncotree_mdlc,0.013671476681077266
gene_programme_09,0.011982245117683643
ohe_histology_mucinous,0.011605874162223806
gene_programme_15,0.011342210831801758
ohe_integrative_cluster_3,0.010927503279735351
ohe_ethnicity_africa,0.010817305838682234
ohe_histology_medullary,0.010436768845270894
ohe_pam50_nc,0.009486790731948691
immune_innate_score,0.009473167008153816
gene_programme_08,0.00877927051342553
ohe_integrative_cluster_4ERplus,0.008756397290695439
ohe_pam50_normal,0.008479868085250253
epithelial_differentiation_score,0.007647422297100359
age_at_diagnosis_was_missing,0.006970279885966768
gene_programme_14,0.0068471903875124696
primary_tumor_laterality_bin,0.006402901621537005
type_of_breast_surgery_bin_was_missing,0.006345616889961825
ohe_cohort_5,0.005874808085169825
gene_programme_03,0.005196351307732883
ohe_pam50_claudinneglow,0.004850803291954975
pathway_immune_ifn_score,0.002029592656120016
ohe_her2_snp6_other,0.0017613213972933472
tumor_size_was_missing,0.0016064068727947856
ohe_integrative_cluster_9,0.0015762255126809954
pr_status_bin_was_missing,0.0015154844295985903
ohe_3gene_erplus_her2neg_high_prolif,0.0013822155273746084
ohe_histology_mixed,0.0006421647418846099
cellularity_ord,0.00029367217576270477
ohe_oncotree_other,0.00018379554222436312
ohe_pam50_lumb,0.0
ohe_ethnicity_asian,0.0
ohe_ethnicity_european,0.0
her2_status_bin_was_missing,0.0
tumor_stage_was_missing,0.0
lymph_nodes_examined_positive_log,0.0
er_status_bin_was_missing,0.0
ohe_ethnicity_north_america,0.0
inferred_menopausal_state_bin,0.0
inferred_menopausal_state_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
ohe_integrative_cluster_2,0.0
ohe_oncotree_ilc,0.0
ohe_histology_other,0.0
ohe_histology_lobular,0.0
ohe_cohort_4,0.0
ohe_cohort_2,0.0
ohe_integrative_cluster_1,0.0
ohe_integrative_cluster_6,0.0
ohe_integrative_cluster_4ER-,0.0
stromal_matrix_score,0.0
pathway_emt_stroma_score,0.0
ohe_her2_snp6_gain,0.0
ohe_her2_snp6_loss,0.0
ohe_oncotree_immc,0.0
gene_programme_11,0.0
gene_programme_13,0.0
gene_programme_12,0.0
