,coef_abs
ohe_histology_tubular__cribriform,0.263963519758101
ohe_histology_mucinous,0.232368164459325
gene_programme_01,0.16861132903122128
ohe_cohort_5,0.15213222629386589
ohe_integrative_cluster_7,0.1410968564959923
ohe_histology_ductal_nst,0.08113473116116476
ohe_cohort_3,0.07665042456185249
gene_programme_07,0.07466065443604168
ohe_3gene_erplus_her2neg_low_prolif,0.07034937117882949
gene_programme_09,0.06924085188494755
gene_programme_10,0.06344202304700615
gene_programme_04,0.059289849525745814
gene_programme_05,0.05820147003723272
ohe_ethnicity_european,0.05487840093893492
ohe_pam50_lumb,0.048208503334031316
pathway_proliferation_score,0.04647361871434024
lymph_nodes_examined_positive_log,0.04132391647042184
type_of_breast_surgery_bin,0.03430802497311603
gene_programme_02,0.02832237668789383
cellularity_was_missing,0.027887565776129598
gene_programme_06,0.026213596618891014
pathway_luminal_score,0.024277211542120286
gene_programme_13,0.02358621269025434
gene_programme_14,0.020646378019421104
pr_status_bin,0.01903671406801442
mutation_count_log,0.01876618019836071
tumor_size_log,0.017820769675479357
gene_programme_12,0.01695484506800289
stromal_matrix_score,0.016669007174067205
pathway_immune_ifn_score,0.01634981768261662
gene_programme_08,0.01598194183817274
pathway_dna_repair_score,0.01590859533042671
ohe_integrative_cluster_8,0.013349486455275058
primary_tumor_laterality_bin,0.012488669214606837
ohe_ethnicity_north_america,0.012137105849096188
gene_programme_15,0.01159504847738234
gene_programme_11,0.010697672761368151
age_at_diagnosis_imputed,0.008729311773959502
ohe_pam50_basal,0.007471532949088544
ohe_cohort_4,0.003436780129227485
ohe_oncotree_immc,0.0031633444445032417
ohe_integrative_cluster_6,0.0012155050528118688
cellularity_ord,0.0004989729466443888
ohe_pam50_luma,0.0
her2_status_bin_was_missing,0.0
her2_status_bin,0.0
tumor_size_was_missing,0.0
ohe_pam50_her2,0.0
ohe_ethnicity_asian,0.0
ohe_ethnicity_africa,0.0
inferred_menopausal_state_bin,0.0
inferred_menopausal_state_bin_was_missing,0.0
type_of_breast_surgery_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
tumor_stage_was_missing,0.0
age_at_diagnosis_was_missing,0.0
mutation_count_was_missing,0.0
er_status_bin_was_missing,0.0
er_status_bin,0.0
ohe_integrative_cluster_4ERplus,0.0
ohe_integrative_cluster_3,0.0
ohe_oncotree_ilc,0.0
ohe_oncotree_idc,0.0
ohe_histology_other,0.0
ohe_histology_mixed,0.0
ohe_histology_lobular,0.0
ohe_histology_medullary,0.0
ohe_3gene_her2plus,0.0
ohe_3gene_erneg_her2neg,0.0
ohe_cohort_1,0.0
ohe_cohort_2,0.0
ohe_integrative_cluster_2,0.0
ohe_integrative_cluster_10,0.0
ohe_integrative_cluster_4ER-,0.0
ohe_integrative_cluster_5,0.0
ohe_integrative_cluster_9,0.0
ohe_3gene_erplus_her2neg_high_prolif,0.0
ohe_integrative_cluster_1,0.0
ohe_pam50_claudinneglow,0.0
ohe_pam50_normal,0.0
ohe_pam50_nc,0.0
epithelial_differentiation_score,0.0
immune_innate_score,0.0
ohe_her2_snp6_neutral,0.0
ohe_her2_snp6_other,0.0
ohe_oncotree_mdlc,0.0
ohe_oncotree_other,0.0
pathway_her2_score,0.0
pathway_emt_stroma_score,0.0
ohe_her2_snp6_gain,0.0
ohe_her2_snp6_loss,0.0
cell_cycle_checkpoint_score,0.0
gene_programme_03,0.0
