,importance
pathway_proliferation_score,0.06791517534042996
gene_programme_01,0.055376589019600554
gene_programme_07,0.04222494182069987
gene_programme_10,0.036302353880846336
cell_cycle_checkpoint_score,0.033469521632531994
gene_programme_05,0.029581271684148248
gene_programme_04,0.027844760275180503
gene_programme_06,0.025257419867703794
pathway_dna_repair_score,0.025235477228697095
gene_programme_09,0.024978199065944177
pathway_luminal_score,0.024858481784315326
gene_programme_15,0.024389408617797682
gene_programme_11,0.024040168883554893
gene_programme_14,0.023705694010295583
pathway_her2_score,0.023696008765710857
pathway_immune_ifn_score,0.023595953686997646
gene_programme_12,0.023331174080563812
gene_programme_02,0.02293890652868294
gene_programme_13,0.02291861367376873
tumor_size_log,0.022578061251035078
gene_programme_08,0.021991527649927265
immune_innate_score,0.021875605362510698
epithelial_differentiation_score,0.021484946053431896
pathway_emt_stroma_score,0.02141184800865201
age_at_diagnosis_imputed,0.021201280155332552
gene_programme_03,0.02119239655508339
stromal_matrix_score,0.02106776530360225
ohe_3gene_erplus_her2neg_low_prolif,0.01854467623345567
er_status_bin,0.017584714660769104
mutation_count_log,0.016917352100161768
ohe_pam50_luma,0.013923642543443727
lymph_nodes_examined_positive_log,0.012421736709677727
ohe_cohort_3,0.009492348001980996
pr_status_bin,0.00944106863438904
ohe_histology_ductal_nst,0.007293270610234827
cellularity_ord,0.006001229302592283
ohe_integrative_cluster_10,0.005642209959516401
ohe_oncotree_idc,0.005555689295453691
ohe_3gene_erplus_her2neg_high_prolif,0.0053836257019517835
ohe_3gene_erneg_her2neg,0.005101422170003467
ohe_cohort_5,0.004550593864999259
tumor_stage_was_missing,0.004316456678804327
type_of_breast_surgery_bin,0.004086614922660976
ohe_pam50_lumb,0.00394666781969136
primary_tumor_laterality_bin,0.003790236439105834
ohe_integrative_cluster_8,0.0037252979006763168
ohe_ethnicity_european,0.0036633826037851236
ohe_ethnicity_north_america,0.0035800430718758063
ohe_her2_snp6_gain,0.0034146098729935584
ohe_pam50_basal,0.0032867753889743155
ohe_integrative_cluster_3,0.0032824666498093335
ohe_her2_snp6_neutral,0.003156248546163511
ohe_integrative_cluster_7,0.0031173081158718395
ohe_cohort_2,0.0030691538393866117
ohe_cohort_1,0.003065098897867504
ohe_histology_mixed,0.0030115296855747925
ohe_integrative_cluster_4ERplus,0.002982145312537831
ohe_ethnicity_asian,0.002827885840163934
ohe_oncotree_mdlc,0.0027214517161743028
ohe_pam50_normal,0.0026994641605309396
ohe_cohort_4,0.002614184074569429
ohe_integrative_cluster_5,0.002500726771484149
her2_status_bin,0.00249583110391474
ohe_histology_lobular,0.0024246417776903227
ohe_oncotree_ilc,0.0024096996952323187
inferred_menopausal_state_bin,0.002376309323984272
ohe_histology_tubular__cribriform,0.0023099925349710916
ohe_integrative_cluster_1,0.0022081598132695254
ohe_3gene_her2plus,0.0020865732831844997
ohe_pam50_her2,0.0020615589986730906
ohe_ethnicity_africa,0.001992526178668986
ohe_oncotree_immc,0.0019921639214482883
ohe_histology_mucinous,0.0019481832623510882
cellularity_was_missing,0.0019211478723590377
ohe_integrative_cluster_9,0.001724031218885142
ohe_integrative_cluster_6,0.001598365786078447
ohe_her2_snp6_loss,0.001561806565836444
ohe_integrative_cluster_2,0.0012299383486445486
ohe_pam50_claudinneglow,0.001152252594635705
mutation_count_was_missing,0.0011309833747266895
tumor_size_was_missing,0.0009245549808115723
age_at_diagnosis_was_missing,0.0007545231183866565
ohe_oncotree_other,0.000729590304213041
ohe_integrative_cluster_4ER-,0.0007277831618863012
ohe_histology_other,0.00052113918255419
ohe_histology_medullary,0.0003397107561425338
ohe_her2_snp6_other,0.00010921261526045287
ohe_pam50_nc,9.444194181446631e-05
inferred_menopausal_state_bin_was_missing,0.0
pr_status_bin_was_missing,0.0
er_status_bin_was_missing,0.0
her2_status_bin_was_missing,0.0
type_of_breast_surgery_bin_was_missing,0.0
primary_tumor_laterality_bin_was_missing,0.0
